Date,AAPL,F,INTC,PFE,T
2006-12-13,2.726727247238159,4.640410423278809,13.342144966125488,13.112051010131836,15.446491241455078
2006-12-14,2.7114174365997314,4.795538902282715,13.387261390686035,13.199844360351562,15.494290351867676
2006-12-15,2.6860029697418213,4.775304794311523,13.509727478027344,13.241161346435547,15.494290351867676
2006-12-18,2.617107629776001,4.741579532623291,13.432381629943848,13.339279174804688,15.411736488342285
2006-12-19,2.6428277492523193,4.842751979827881,13.31635856628418,13.530353546142578,15.20317554473877
2006-12-20,2.595366954803467,4.943924903869629,13.277690887451172,13.5355224609375,15.185791969299316
2006-12-21,2.5384135246276855,4.93043327331543,13.129444122314453,13.46322250366211,15.28138542175293
2006-12-22,2.5169777870178223,5.004627704620361,12.942521095275879,13.411581993103027,15.198837280273438
2006-12-26,2.495851516723633,5.051839828491211,12.987640380859375,13.390920639038086,15.211861610412598
2006-12-27,2.49615740776062,5.112544059753418,13.14877700805664,13.504535675048828,15.390018463134766
2006-12-28,2.4762532711029053,5.058585166931152,13.16166877746582,13.46322250366211,15.424771308898926
2006-12-29,2.5978164672851562,5.065329551696777,13.052096366882324,13.375431060791016,15.533395767211914
2007-01-03,2.5659708976745605,5.065329551696777,13.116548538208008,13.576831817626953,15.185791969299316
2007-01-04,2.622925043106079,5.193480491638184,13.645074844360352,13.623315811157227,14.99027156829834
2007-01-05,2.6042466163635254,5.139522552490234,13.599959373474121,13.581999778747559,14.75564193725586
2007-01-08,2.617107629776001,5.213715076446533,13.541951179504395,13.509697914123535,14.84565544128418
2007-01-09,2.834510564804077,5.254183769226074,13.554845809936523,13.51486587524414,14.902731895446777
2007-01-10,2.9701578617095947,5.213715076446533,13.870670318603516,13.530353546142578,14.942251205444336
2007-01-11,2.933413505554199,5.240694999694824,14.128495216369629,13.664629936218262,15.14423656463623
2007-01-12,2.897282361984253,5.321631908416748,14.263848304748535,13.757583618164062,15.249621391296387
2007-01-16,2.973220109939575,5.355355262756348,14.373416900634766,13.82471752166748,15.205707550048828
2007-01-17,2.9073855876922607,5.42280387878418,13.561288833618164,13.886689186096191,15.14423656463623
2007-01-18,2.72733998298645,5.517230033874512,13.30991268157959,14.031288146972656,15.376953125
2007-01-19,2.709886312484741,5.5981669425964355,13.419485092163086,14.057112693786621,15.398903846740723
2007-01-22,2.6575257778167725,5.672359943389893,13.400150299072266,13.917680740356445,15.486722946166992
2007-01-23,2.6241488456726074,5.5981669425964355,13.24545955657959,13.618149757385254,15.5262451171875
2007-01-24,2.6547703742980957,5.530718803405762,13.432381629943848,13.850545883178711,16.083892822265625
2007-01-25,2.6409902572631836,5.544209957122803,13.277690887451172,13.61298656463623,16.154146194458008
2007-01-26,2.614351749420166,5.679104804992676,13.23257064819336,13.576831817626953,15.982900619506836
2007-01-29,2.6314995288848877,5.645380973815918,13.464606285095215,13.458051681518555,16.031198501586914
2007-01-30,2.619555711746216,5.530718803405762,13.490386009216309,13.478716850280762,16.285871505737305
2007-01-31,2.625067949295044,5.483506679534912,13.509727478027344,13.551013946533203,16.522977828979492
2007-02-01,2.594754219055176,5.591423034667969,13.606409072875977,13.747260093688965,16.575672149658203
2007-02-02,2.595060348510742,5.550952434539795,13.683747291564941,13.840211868286133,16.738136291503906
2007-02-05,2.570258378982544,5.618402481079102,13.789375305175781,13.881526947021484,16.59323501586914
2007-02-06,2.576688289642334,5.760043144226074,13.808815956115723,13.855704307556152,16.47028923034668
2007-02-07,2.6379294395446777,5.773531913757324,13.9384126663208,13.845264434814453,16.316612243652344
2007-02-08,2.6388473510742188,5.766787052154541,13.841216087341309,13.80350399017334,16.413204193115234
2007-02-09,2.5497422218322754,5.8881940841674805,13.627373695373535,13.772176742553711,16.202449798583984
2007-02-12,2.5990419387817383,5.834234714508057,13.47834300994873,13.688642501831055,16.228788375854492
2007-02-13,2.593529462814331,5.699338436126709,13.523698806762695,13.77739429473877,16.329776763916016
2007-02-14,2.6119022369384766,5.739808559417725,13.69865608215332,13.876590728759766,16.329776763916016
2007-02-15,2.609144926071167,5.800510406494141,13.808815956115723,13.850481033325195,16.347349166870117
2007-02-16,2.59751033782959,5.753298282623291,13.756980895996094,13.730406761169434,16.457117080688477
2007-02-20,2.6302735805511475,5.834234714508057,13.724576950073242,13.730406761169434,16.4044189453125
2007-02-21,2.731320858001709,5.712828636169434,13.53017807006836,13.610333442687988,16.338563919067383
2007-02-22,2.7408130168914795,5.63189172744751,13.588495254516602,13.505919456481934,16.268308639526367
2007-02-23,2.72733998298645,5.5981669425964355,13.452417373657227,13.375407218933105,16.246349334716797
2007-02-26,2.7101924419403076,5.5711870193481445,13.510734558105469,13.490262031555176,16.465896606445312
2007-02-27,2.5699515342712402,5.247439384460449,12.97938060760498,13.124807357788086,15.873126983642578
2007-02-28,2.5907745361328125,5.3351216316223145,12.869219779968262,13.030839920043945,16.158536911010742
2007-03-01,2.66579270362854,5.240694999694824,12.69426155090332,13.072602272033691,16.119014739990234
2007-03-02,2.615269899368286,5.119289398193359,12.454499244689941,12.942085266113281,16.000463485717773
2007-03-05,2.643134117126465,5.112544059753418,12.383222579956055,12.895094871520996,15.684320449829102
2007-03-06,2.7003936767578125,5.153012275695801,12.571141242980957,13.150911331176758,15.80726146697998
2007-03-07,2.6860029697418213,5.139522552490234,12.389704704284668,13.192680358886719,15.556976318359375
2007-03-08,2.6945765018463135,5.348609447479248,12.460984230041504,13.265766143798828,16.031198501586914
2007-03-09,2.6936583518981934,5.348609447479248,12.376742362976074,13.265766143798828,16.048765182495117
